Using cpu device
Wrapping the env with a `Monitor` wrapper
Wrapping the env in a DummyVecEnv.
---------------------------------
| rollout/           |          |
|    value_loss           | 3.16        |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 500         |
|    ep_rew_mean          | 118         |
| time/                   |             |
|    fps                  | 149         |
|    iterations           | 398         |
|    time_elapsed         | 5469        |
|    total_timesteps      | 815104      |
| train/                  |             |
|    approx_kl            | 0.025701014 |
|    clip_fraction        | 0.285       |
|    clip_range           | 0.2         |
|    entropy_loss         | -7.06       |
|    explained_variance   | 0.824       |
|    learning_rate        | 0.0003      |
|    loss                 | 1.33        |
|    n_updates            | 3970        |
|    policy_gradient_loss | -0.019      |
|    std                  | 0.675       |
|    value_loss           | 2.41        |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 500         |
|    ep_rew_mean          | 118         |
| time/                   |             |
|    fps                  | 148         |
|    iterations           | 399         |
|    time_elapsed         | 5486        |
|    total_timesteps      | 817152      |
| train/                  |             |
|    approx_kl            | 0.023304485 |
|    clip_fraction        | 0.267       |
|    clip_range           | 0.2         |
|    entropy_loss         | -7.02       |
|    explained_variance   | 0.745       |
|    learning_rate        | 0.0003      |
|    loss                 | 1.58        |
|    n_updates            | 3980        |
|    policy_gradient_loss | -0.0177     |
|    std                  | 0.671       |
|    value_loss           | 2.04        |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 500         |
|    ep_rew_mean          | 118         |
| time/                   |             |
|    fps                  | 149         |
|    iterations           | 400         |
|    time_elapsed         | 5497        |
|    total_timesteps      | 819200      |
| train/                  |             |
|    approx_kl            | 0.034024835 |
|    clip_fraction        | 0.289       |
|    clip_range           | 0.2         |
|    entropy_loss         | -7          |
|    explained_variance   | 0.917       |
|    learning_rate        | 0.0003      |
|    loss                 | 0.247       |
|    n_updates            | 3990        |
|    policy_gradient_loss | -0.0233     |
|    std                  | 0.67        |
|    value_loss           | 0.942       |
-----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 500        |
|    ep_rew_mean          | 119        |
| time/                   |            |
|    fps                  | 149        |
|    iterations           | 401        |
|    time_elapsed         | 5508       |
|    total_timesteps      | 821248     |
| train/                  |            |
|    approx_kl            | 0.02421803 |
|    clip_fraction        | 0.28       |
|    clip_range           | 0.2        |
|    entropy_loss         | -6.99      |
|    explained_variance   | 0.927      |
|    learning_rate        | 0.0003     |
|    loss                 | 0.101      |
|    n_updates            | 4000       |
|    policy_gradient_loss | -0.0253    |
|    std                  | 0.67       |
|    value_loss           | 1.99       |
----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 500         |
|    ep_rew_mean          | 118         |
| time/                   |             |
|    fps                  | 149         |
|    iterations           | 402         |
|    time_elapsed         | 5521        |
|    total_timesteps      | 823296      |
| train/                  |             |
|    approx_kl            | 0.021149546 |
|    clip_fraction        | 0.249       |
|    clip_range           | 0.2         |
|    entropy_loss         | -7          |
|    explained_variance   | 0.808       |
|    learning_rate        | 0.0003      |
|    loss                 | 0.422       |
|    n_updates            | 4010        |
|    policy_gradient_loss | -0.0148     |
|    std                  | 0.672       |
|    value_loss           | 4.1         |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 500         |
|    ep_rew_mean          | 119         |
| time/                   |             |
|    fps                  | 149         |
|    iterations           | 403         |
|    time_elapsed         | 5535        |
|    total_timesteps      | 825344      |
| train/                  |             |
|    approx_kl            | 0.022033125 |
|    clip_fraction        | 0.254       |
|    clip_range           | 0.2         |
|    entropy_loss         | -7.01       |
|    explained_variance   | 0.663       |
|    learning_rate        | 0.0003      |
|    loss                 | 1.82        |
|    n_updates            | 4020        |
|    policy_gradient_loss | -0.0248     |
|    std                  | 0.67        |
|    value_loss           | 3.19        |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 500         |
|    ep_rew_mean          | 118         |
| time/                   |             |
|    fps                  | 149         |
|    iterations           | 404         |
|    time_elapsed         | 5547        |
|    total_timesteps      | 827392      |
| train/                  |             |
|    approx_kl            | 0.025094325 |
|    clip_fraction        | 0.259       |
|    clip_range           | 0.2         |
|    entropy_loss         | -7          |
|    explained_variance   | 0.589       |
|    learning_rate        | 0.0003      |
|    loss                 | 1.63        |
|    n_updates            | 4030        |
|    policy_gradient_loss | -0.0178     |
|    std                  | 0.671       |
|    value_loss           | 4.33        |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 500         |
|    ep_rew_mean          | 118         |
| time/                   |             |
|    fps                  | 149         |
|    iterations           | 405         |
|    time_elapsed         | 5560        |
|    total_timesteps      | 829440      |
| train/                  |             |
|    approx_kl            | 0.028634617 |
|    clip_fraction        | 0.3         |
|    clip_range           | 0.2         |
|    entropy_loss         | -7.01       |
|    explained_variance   | 0.81        |
|    learning_rate        | 0.0003      |
|    loss                 | 0.421       |
|    n_updates            | 4040        |
|    policy_gradient_loss | -0.028      |
|    std                  | 0.671       |
|    value_loss           | 1.75        |
-----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 500        |
|    ep_rew_mean          | 116        |
| time/                   |            |
|    fps                  | 149        |
|    iterations           | 406        |
|    time_elapsed         | 5573       |
|    total_timesteps      | 831488     |
| train/                  |            |
|    approx_kl            | 0.02591997 |
|    clip_fraction        | 0.275      |
|    clip_range           | 0.2        |
|    entropy_loss         | -7.02      |
|    explained_variance   | 0.861      |
|    learning_rate        | 0.0003     |
|    loss                 | 0.378      |
|    n_updates            | 4050       |
|    policy_gradient_loss | -0.0242    |
|    std                  | 0.673      |
|    value_loss           | 2.26       |
----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 500         |
|    ep_rew_mean          | 117         |
| time/                   |             |
|    fps                  | 149         |
|    iterations           | 407         |
|    time_elapsed         | 5585        |
|    total_timesteps      | 833536      |
| train/                  |             |
|    approx_kl            | 0.029857248 |
|    clip_fraction        | 0.319       |
|    clip_range           | 0.2         |
|    entropy_loss         | -7.01       |
|    explained_variance   | 0.945       |
|    learning_rate        | 0.0003      |
|    loss                 | 0.209       |
|    n_updates            | 4060        |
|    policy_gradient_loss | -0.022      |
|    std                  | 0.67        |
|    value_loss           | 2.1         |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 500         |
|    ep_rew_mean          | 117         |
| time/                   |             |
|    fps                  | 149         |
|    iterations           | 408         |
|    time_elapsed         | 5596        |
|    total_timesteps      | 835584      |
| train/                  |             |
|    approx_kl            | 0.021978745 |
|    clip_fraction        | 0.284       |
|    clip_range           | 0.2         |
|    entropy_loss         | -7.01       |
|    explained_variance   | 0.798       |
|    learning_rate        | 0.0003      |
|    loss                 | 0.287       |
|    n_updates            | 4070        |
|    policy_gradient_loss | -0.0205     |
|    std                  | 0.672       |
|    value_loss           | 2.74        |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 500         |
|    ep_rew_mean          | 117         |
| time/                   |             |
|    fps                  | 149         |
|    iterations           | 409         |
|    time_elapsed         | 5607        |
|    total_timesteps      | 837632      |
| train/                  |             |
|    approx_kl            | 0.028444622 |
|    clip_fraction        | 0.289       |
|    clip_range           | 0.2         |
|    entropy_loss         | -7          |
|    explained_variance   | 0.568       |
|    learning_rate        | 0.0003      |
|    loss                 | 2.5         |
|    n_updates            | 4080        |
|    policy_gradient_loss | -0.0252     |
|    std                  | 0.669       |
|    value_loss           | 5.09        |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 500         |
|    ep_rew_mean          | 117         |
| time/                   |             |
|    fps                  | 149         |
|    iterations           | 410         |
|    time_elapsed         | 5619        |
|    total_timesteps      | 839680      |
| train/                  |             |
|    approx_kl            | 0.021979788 |
|    clip_fraction        | 0.268       |
|    clip_range           | 0.2         |
|    entropy_loss         | -6.98       |
|    explained_variance   | 0.825       |
|    learning_rate        | 0.0003      |
|    loss                 | 1.03        |
|    n_updates            | 4090        |
|    policy_gradient_loss | -0.0156     |
|    std                  | 0.667       |
|    value_loss           | 4.24        |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 500         |
|    ep_rew_mean          | 117         |
| time/                   |             |
|    fps                  | 149         |
|    iterations           | 411         |
|    time_elapsed         | 5630        |
|    total_timesteps      | 841728      |
| train/                  |             |
|    approx_kl            | 0.029693417 |
|    clip_fraction        | 0.287       |
|    clip_range           | 0.2         |
|    entropy_loss         | -6.94       |
|    explained_variance   | 0.853       |
|    learning_rate        | 0.0003      |
|    loss                 | 1.23        |
|    n_updates            | 4100        |
|    policy_gradient_loss | -0.0267     |
|    std                  | 0.663       |
|    value_loss           | 1.74        |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 500         |
|    ep_rew_mean          | 119         |
| time/                   |             |
|    fps                  | 149         |
|    iterations           | 412         |
|    time_elapsed         | 5642        |
|    total_timesteps      | 843776      |
| train/                  |             |
|    approx_kl            | 0.025710192 |
|    clip_fraction        | 0.29        |
|    clip_range           | 0.2         |
|    entropy_loss         | -6.93       |
|    explained_variance   | 0.749       |
|    learning_rate        | 0.0003      |
|    loss                 | 3.19        |
|    n_updates            | 4110        |
|    policy_gradient_loss | -0.0216     |
|    std                  | 0.665       |
|    value_loss           | 3.86        |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 500         |
|    ep_rew_mean          | 119         |
| time/                   |             |
|    fps                  | 149         |
|    iterations           | 413         |
|    time_elapsed         | 5653        |
|    total_timesteps      | 845824      |
| train/                  |             |
|    approx_kl            | 0.027585663 |
|    clip_fraction        | 0.293       |
|    clip_range           | 0.2         |
|    entropy_loss         | -6.94       |
|    explained_variance   | 0.812       |
|    learning_rate        | 0.0003      |
|    loss                 | 0.728       |
|    n_updates            | 4120        |
|    policy_gradient_loss | -0.0212     |
|    std                  | 0.667       |
|    value_loss           | 2.97        |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 500         |
|    ep_rew_mean          | 119         |
| time/                   |             |
|    fps                  | 149         |
|    iterations           | 414         |
|    time_elapsed         | 5665        |
|    total_timesteps      | 847872      |
| train/                  |             |
|    approx_kl            | 0.025902376 |
|    clip_fraction        | 0.298       |
|    clip_range           | 0.2         |
|    entropy_loss         | -6.95       |
|    explained_variance   | 0.751       |
|    learning_rate        | 0.0003      |
|    loss                 | 0.343       |
|    n_updates            | 4130        |
|    policy_gradient_loss | -0.0251     |
|    std                  | 0.666       |
|    value_loss           | 2.05        |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 500         |
|    ep_rew_mean          | 120         |
| time/                   |             |
|    fps                  | 149         |
|    iterations           | 415         |
|    time_elapsed         | 5676        |
|    total_timesteps      | 849920      |
| train/                  |             |
|    approx_kl            | 0.027394218 |
|    clip_fraction        | 0.294       |
|    clip_range           | 0.2         |
|    entropy_loss         | -6.95       |
|    explained_variance   | 0.886       |
|    learning_rate        | 0.0003      |
|    loss                 | 0.841       |
|    n_updates            | 4140        |
|    policy_gradient_loss | -0.0271     |
|    std                  | 0.667       |
|    value_loss           | 2.76        |
-----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 500        |
|    ep_rew_mean          | 122        |
| time/                   |            |
|    fps                  | 149        |
|    iterations           | 416        |
|    time_elapsed         | 5688       |
|    total_timesteps      | 851968     |
| train/                  |            |
|    approx_kl            | 0.02551601 |
|    clip_fraction        | 0.287      |
|    clip_range           | 0.2        |
|    entropy_loss         | -6.92      |
|    explained_variance   | 0.698      |
|    learning_rate        | 0.0003     |
|    loss                 | 1.2        |
|    n_updates            | 4150       |
|    policy_gradient_loss | -0.0231    |
|    std                  | 0.661      |
|    value_loss           | 2.58       |
----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 500         |
|    ep_rew_mean          | 121         |
| time/                   |             |
|    fps                  | 149         |
|    iterations           | 417         |
|    time_elapsed         | 5699        |
|    total_timesteps      | 854016      |
| train/                  |             |
|    approx_kl            | 0.025893282 |
|    clip_fraction        | 0.296       |
|    clip_range           | 0.2         |
|    entropy_loss         | -6.89       |
|    explained_variance   | 0.89        |
|    learning_rate        | 0.0003      |
|    loss                 | 3.35        |
|    n_updates            | 4160        |
|    policy_gradient_loss | -0.021      |
|    std                  | 0.661       |
|    value_loss           | 2.99        |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 500         |
|    ep_rew_mean          | 121         |
| time/                   |             |
|    fps                  | 149         |
|    iterations           | 418         |
|    time_elapsed         | 5711        |
|    total_timesteps      | 856064      |
| train/                  |             |
|    approx_kl            | 0.028912636 |
|    clip_fraction        | 0.309       |
|    clip_range           | 0.2         |
|    entropy_loss         | -6.89       |
|    explained_variance   | 0.874       |
|    learning_rate        | 0.0003      |
|    loss                 | 1.12        |
|    n_updates            | 4170        |
|    policy_gradient_loss | -0.0286     |
|    std                  | 0.661       |
|    value_loss           | 2.32        |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 500         |
|    ep_rew_mean          | 120         |
| time/                   |             |
|    fps                  | 149         |
|    iterations           | 419         |
|    time_elapsed         | 5722        |
|    total_timesteps      | 858112      |
| train/                  |             |
|    approx_kl            | 0.022062792 |
|    clip_fraction        | 0.282       |
|    clip_range           | 0.2         |
|    entropy_loss         | -6.88       |
|    explained_variance   | 0.578       |
|    learning_rate        | 0.0003      |
|    loss                 | 1.64        |
|    n_updates            | 4180        |
|    policy_gradient_loss | -0.0187     |
|    std                  | 0.659       |
|    value_loss           | 4.99        |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 500         |
|    ep_rew_mean          | 121         |
| time/                   |             |
|    fps                  | 150         |
|    iterations           | 420         |
|    time_elapsed         | 5734        |
|    total_timesteps      | 860160      |
| train/                  |             |
|    approx_kl            | 0.031589657 |
|    clip_fraction        | 0.283       |
|    clip_range           | 0.2         |
|    entropy_loss         | -6.88       |
|    explained_variance   | 0.811       |
|    learning_rate        | 0.0003      |
|    loss                 | 0.395       |
|    n_updates            | 4190        |
|    policy_gradient_loss | -0.0177     |
|    std                  | 0.659       |
|    value_loss           | 2.28        |
-----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 500        |
|    ep_rew_mean          | 121        |
| time/                   |            |
|    fps                  | 150        |
|    iterations           | 421        |
|    time_elapsed         | 5745       |
|    total_timesteps      | 862208     |
| train/                  |            |
|    approx_kl            | 0.03280554 |
|    clip_fraction        | 0.32       |
|    clip_range           | 0.2        |
|    entropy_loss         | -6.87      |
|    explained_variance   | 0.873      |
|    learning_rate        | 0.0003     |
|    loss                 | 1.21       |
|    n_updates            | 4200       |
|    policy_gradient_loss | -0.025     |
|    std                  | 0.659      |
|    value_loss           | 1.95       |
----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 500         |
|    ep_rew_mean          | 120         |
| time/                   |             |
|    fps                  | 150         |
|    iterations           | 422         |
|    time_elapsed         | 5756        |
|    total_timesteps      | 864256      |
| train/                  |             |
|    approx_kl            | 0.029609043 |
|    clip_fraction        | 0.288       |
|    clip_range           | 0.2         |
|    entropy_loss         | -6.89       |
|    explained_variance   | 0.727       |
|    learning_rate        | 0.0003      |
|    loss                 | 0.633       |
|    n_updates            | 4210        |
|    policy_gradient_loss | -0.0264     |
|    std                  | 0.66        |
|    value_loss           | 3.45        |
-----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 500        |
|    ep_rew_mean          | 121        |
| time/                   |            |
|    fps                  | 150        |
|    iterations           | 423        |
|    time_elapsed         | 5768       |
|    total_timesteps      | 866304     |
| train/                  |            |
|    approx_kl            | 0.02697983 |
|    clip_fraction        | 0.289      |
|    clip_range           | 0.2        |
|    entropy_loss         | -6.88      |
|    explained_variance   | 0.855      |
|    learning_rate        | 0.0003     |
|    loss                 | 0.258      |
|    n_updates            | 4220       |
|    policy_gradient_loss | -0.0255    |
|    std                  | 0.659      |
|    value_loss           | 2.55       |
----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 500         |
|    ep_rew_mean          | 120         |
| time/                   |             |
|    fps                  | 150         |
|    iterations           | 424         |
|    time_elapsed         | 5779        |
|    total_timesteps      | 868352      |
| train/                  |             |
|    approx_kl            | 0.020701358 |
|    clip_fraction        | 0.228       |
|    clip_range           | 0.2         |
|    entropy_loss         | -6.88       |
|    explained_variance   | 0.608       |
|    learning_rate        | 0.0003      |
|    loss                 | 2.52        |
|    n_updates            | 4230        |
|    policy_gradient_loss | -0.0188     |
|    std                  | 0.66        |
|    value_loss           | 3.67        |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 500         |
|    ep_rew_mean          | 122         |
| time/                   |             |
|    fps                  | 150         |
|    iterations           | 425         |
|    time_elapsed         | 5791        |
|    total_timesteps      | 870400      |
| train/                  |             |
|    approx_kl            | 0.027558692 |
|    clip_fraction        | 0.274       |
|    clip_range           | 0.2         |
|    entropy_loss         | -6.89       |
|    explained_variance   | 0.947       |
|    learning_rate        | 0.0003      |
|    loss                 | 0.233       |
|    n_updates            | 4240        |
|    policy_gradient_loss | -0.0249     |
|    std                  | 0.661       |
|    value_loss           | 2.42        |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 500         |
|    ep_rew_mean          | 121         |
| time/                   |             |
|    fps                  | 150         |
|    iterations           | 426         |
|    time_elapsed         | 5802        |
|    total_timesteps      | 872448      |
| train/                  |             |
|    approx_kl            | 0.023250714 |
|    clip_fraction        | 0.281       |
|    clip_range           | 0.2         |
|    entropy_loss         | -6.89       |
|    explained_variance   | 0.905       |
|    learning_rate        | 0.0003      |
|    loss                 | 1.69        |
|    n_updates            | 4250        |
|    policy_gradient_loss | -0.0191     |
|    std                  | 0.659       |
|    value_loss           | 2.27        |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 500         |
|    ep_rew_mean          | 122         |
| time/                   |             |
|    fps                  | 150         |
|    iterations           | 427         |
|    time_elapsed         | 5813        |
|    total_timesteps      | 874496      |
| train/                  |             |
|    approx_kl            | 0.030030295 |
|    clip_fraction        | 0.328       |
|    clip_range           | 0.2         |
|    entropy_loss         | -6.87       |
|    explained_variance   | 0.908       |
|    learning_rate        | 0.0003      |
|    loss                 | 0.394       |
|    n_updates            | 4260        |
|    policy_gradient_loss | -0.0259     |
|    std                  | 0.657       |
|    value_loss           | 1.79        |
-----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 500        |
|    ep_rew_mean          | 122        |
| time/                   |            |
|    fps                  | 150        |
|    iterations           | 428        |
|    time_elapsed         | 5825       |
|    total_timesteps      | 876544     |
| train/                  |            |
|    approx_kl            | 0.03473217 |
|    clip_fraction        | 0.301      |
|    clip_range           | 0.2        |
|    entropy_loss         | -6.86      |
|    explained_variance   | 0.877      |
|    learning_rate        | 0.0003     |
|    loss                 | 2.62       |
|    n_updates            | 4270       |
|    policy_gradient_loss | -0.0221    |
|    std                  | 0.656      |
|    value_loss           | 3.21       |
----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 500         |
|    ep_rew_mean          | 122         |
| time/                   |             |
|    fps                  | 150         |
|    iterations           | 429         |
|    time_elapsed         | 5838        |
|    total_timesteps      | 878592      |
| train/                  |             |
|    approx_kl            | 0.022564473 |
|    clip_fraction        | 0.297       |
|    clip_range           | 0.2         |
|    entropy_loss         | -6.84       |
|    explained_variance   | 0.796       |
|    learning_rate        | 0.0003      |
|    loss                 | 1.85        |
|    n_updates            | 4280        |
|    policy_gradient_loss | -0.0203     |
|    std                  | 0.656       |
|    value_loss           | 2.88        |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 500         |
|    ep_rew_mean          | 123         |
| time/                   |             |
|    fps                  | 150         |
|    iterations           | 430         |
|    time_elapsed         | 5850        |
|    total_timesteps      | 880640      |
| train/                  |             |
|    approx_kl            | 0.022948802 |
|    clip_fraction        | 0.296       |
|    clip_range           | 0.2         |
|    entropy_loss         | -6.86       |
|    explained_variance   | 0.924       |
|    learning_rate        | 0.0003      |
|    loss                 | 1.86        |
|    n_updates            | 4290        |
|    policy_gradient_loss | -0.0206     |
|    std                  | 0.658       |
|    value_loss           | 3.98        |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 500         |
|    ep_rew_mean          | 122         |
| time/                   |             |
|    fps                  | 150         |
|    iterations           | 431         |
|    time_elapsed         | 5861        |
|    total_timesteps      | 882688      |
| train/                  |             |
|    approx_kl            | 0.028894031 |
|    clip_fraction        | 0.319       |
|    clip_range           | 0.2         |
|    entropy_loss         | -6.86       |
|    explained_variance   | 0.971       |
|    learning_rate        | 0.0003      |
|    loss                 | 0.311       |
|    n_updates            | 4300        |
|    policy_gradient_loss | -0.0221     |
|    std                  | 0.657       |
|    value_loss           | 1.04        |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 500         |
|    ep_rew_mean          | 123         |
| time/                   |             |
|    fps                  | 150         |
|    iterations           | 432         |
|    time_elapsed         | 5873        |
|    total_timesteps      | 884736      |
| train/                  |             |
|    approx_kl            | 0.026669078 |
|    clip_fraction        | 0.293       |
|    clip_range           | 0.2         |
|    entropy_loss         | -6.86       |
|    explained_variance   | 0.88        |
|    learning_rate        | 0.0003      |
|    loss                 | 1.06        |
|    n_updates            | 4310        |
|    policy_gradient_loss | -0.0191     |
|    std                  | 0.656       |
|    value_loss           | 1.71        |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 500         |
|    ep_rew_mean          | 122         |
| time/                   |             |
|    fps                  | 150         |
|    iterations           | 433         |
|    time_elapsed         | 5884        |
|    total_timesteps      | 886784      |
| train/                  |             |
|    approx_kl            | 0.026955685 |
|    clip_fraction        | 0.273       |
|    clip_range           | 0.2         |
|    entropy_loss         | -6.83       |
|    explained_variance   | 0.889       |
|    learning_rate        | 0.0003      |
|    loss                 | 0.585       |
|    n_updates            | 4320        |
|    policy_gradient_loss | -0.0274     |
|    std                  | 0.651       |
|    value_loss           | 2.88        |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 500         |
|    ep_rew_mean          | 121         |
| time/                   |             |
|    fps                  | 150         |
|    iterations           | 434         |
|    time_elapsed         | 5896        |
|    total_timesteps      | 888832      |
| train/                  |             |
|    approx_kl            | 0.026405498 |
|    clip_fraction        | 0.321       |
|    clip_range           | 0.2         |
|    entropy_loss         | -6.81       |
|    explained_variance   | 0.966       |
|    learning_rate        | 0.0003      |
|    loss                 | 0.549       |
|    n_updates            | 4330        |
|    policy_gradient_loss | -0.0266     |
|    std                  | 0.653       |
|    value_loss           | 1.69        |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 500         |
|    ep_rew_mean          | 121         |
| time/                   |             |
|    fps                  | 150         |
|    iterations           | 435         |
|    time_elapsed         | 5907        |
|    total_timesteps      | 890880      |
| train/                  |             |
|    approx_kl            | 0.024647385 |
|    clip_fraction        | 0.28        |
|    clip_range           | 0.2         |
|    entropy_loss         | -6.83       |
|    explained_variance   | 0.908       |
|    learning_rate        | 0.0003      |
|    loss                 | 0.281       |
|    n_updates            | 4340        |
|    policy_gradient_loss | -0.027      |
|    std                  | 0.655       |
|    value_loss           | 1.62        |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 500         |
|    ep_rew_mean          | 123         |
| time/                   |             |
|    fps                  | 150         |
|    iterations           | 436         |
|    time_elapsed         | 5918        |
|    total_timesteps      | 892928      |
| train/                  |             |
|    approx_kl            | 0.026110912 |
|    clip_fraction        | 0.28        |
|    clip_range           | 0.2         |
|    entropy_loss         | -6.83       |
|    explained_variance   | 0.48        |
|    learning_rate        | 0.0003      |
|    loss                 | 1.81        |
|    n_updates            | 4350        |
|    policy_gradient_loss | -0.0217     |
|    std                  | 0.653       |
|    value_loss           | 2.65        |
-----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 500        |
|    ep_rew_mean          | 123        |
| time/                   |            |
|    fps                  | 150        |
|    iterations           | 437        |
|    time_elapsed         | 5929       |
|    total_timesteps      | 894976     |
| train/                  |            |
|    approx_kl            | 0.02170422 |
|    clip_fraction        | 0.273      |
|    clip_range           | 0.2        |
|    entropy_loss         | -6.81      |
|    explained_variance   | 0.838      |
|    learning_rate        | 0.0003     |
|    loss                 | 2.32       |
|    n_updates            | 4360       |
|    policy_gradient_loss | -0.0199    |
|    std                  | 0.651      |
|    value_loss           | 3.42       |
----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 500         |
|    ep_rew_mean          | 124         |
| time/                   |             |
|    fps                  | 150         |
|    iterations           | 438         |
|    time_elapsed         | 5941        |
|    total_timesteps      | 897024      |
| train/                  |             |
|    approx_kl            | 0.025046133 |
|    clip_fraction        | 0.293       |
|    clip_range           | 0.2         |
|    entropy_loss         | -6.82       |
|    explained_variance   | 0.816       |
|    learning_rate        | 0.0003      |
|    loss                 | 2.33        |
|    n_updates            | 4370        |
|    policy_gradient_loss | -0.0272     |
|    std                  | 0.654       |
|    value_loss           | 3.02        |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 500         |
|    ep_rew_mean          | 125         |
| time/                   |             |
|    fps                  | 151         |
|    iterations           | 439         |
|    time_elapsed         | 5952        |
|    total_timesteps      | 899072      |
| train/                  |             |
|    approx_kl            | 0.020413857 |
|    clip_fraction        | 0.244       |
|    clip_range           | 0.2         |
|    entropy_loss         | -6.83       |
|    explained_variance   | 0.734       |
|    learning_rate        | 0.0003      |
|    loss                 | 5.44        |
|    n_updates            | 4380        |
|    policy_gradient_loss | -0.0212     |
|    std                  | 0.653       |
|    value_loss           | 5.4         |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 500         |
|    ep_rew_mean          | 126         |
| time/                   |             |
|    fps                  | 151         |
|    iterations           | 440         |
|    time_elapsed         | 5964        |
|    total_timesteps      | 901120      |
| train/                  |             |
|    approx_kl            | 0.022303801 |
|    clip_fraction        | 0.248       |
|    clip_range           | 0.2         |
|    entropy_loss         | -6.81       |
|    explained_variance   | 0.791       |
|    learning_rate        | 0.0003      |
|    loss                 | 1.66        |
|    n_updates            | 4390        |
|    policy_gradient_loss | -0.0169     |
|    std                  | 0.651       |
|    value_loss           | 3.57        |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 500         |
|    ep_rew_mean          | 127         |
| time/                   |             |
|    fps                  | 151         |
|    iterations           | 441         |
|    time_elapsed         | 5975        |
|    total_timesteps      | 903168      |
| train/                  |             |
|    approx_kl            | 0.025316026 |
|    clip_fraction        | 0.313       |
|    clip_range           | 0.2         |
|    entropy_loss         | -6.8        |
|    explained_variance   | 0.841       |
|    learning_rate        | 0.0003      |
|    loss                 | 1.12        |
|    n_updates            | 4400        |
|    policy_gradient_loss | -0.0163     |
|    std                  | 0.651       |
|    value_loss           | 3.66        |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 500         |
|    ep_rew_mean          | 127         |
| time/                   |             |
|    fps                  | 151         |
|    iterations           | 442         |
|    time_elapsed         | 5987        |
|    total_timesteps      | 905216      |
| train/                  |             |
|    approx_kl            | 0.035194974 |
|    clip_fraction        | 0.309       |
|    clip_range           | 0.2         |
|    entropy_loss         | -6.79       |
|    explained_variance   | 0.938       |
|    learning_rate        | 0.0003      |
|    loss                 | 0.695       |
|    n_updates            | 4410        |
